Date,Open,High,Low,Close,Adj Close,Volume,Days
2/14/2018,181.880005,185.059998,181.050003,184.690002,164.123352,6767000,0
2/15/2018,186.740005,187.190002,183.259995,185.270004,164.638748,5113300,1
2/16/2018,185.059998,187.990005,184.860001,186.970001,166.149445,7619200,2
2/20/2018,189.899994,191.440002,186.309998,186.710007,165.918411,8922100,3
2/21/2018,187.210007,187.979996,182.860001,183.059998,162.67485,7527200,4
2/22/2018,183.720001,186.220001,182.910004,185.470001,164.816513,5653900,5
2/23/2018,186.199997,188.410004,185.619995,188.350006,167.375763,4315400,6
2/26/2018,189.169998,189.789993,187.860001,188.460007,167.473541,4648000,7
2/27/2018,188.869995,189.25,184.960007,184.979996,164.381073,4618800,8
2/28/2018,184.410004,186.649994,182.270004,182.270004,161.972855,6419900,9
3/1/2018,182.75,184.399994,178.25,179.639999,159.635681,6123900,10
3/2/2018,177.720001,179.190002,176.339996,178.460007,158.587112,5671000,11
3/5/2018,177.860001,182.259995,177.699997,181.740005,161.501846,5748600,12
3/6/2018,182.75,183,179.509995,181.639999,161.412979,5306800,13
3/7/2018,178.820007,180,176.820007,178.580002,159.59874,4799200,14
3/8/2018,179.440002,179.979996,176.729996,177.940002,159.026749,4750700,15
3/9/2018,179,182.240005,177.919998,182.160004,162.798218,4477200,16
3/12/2018,182.429993,183.059998,179.550003,179.710007,160.608627,4993300,17
3/13/2018,179.589996,180.949997,177.860001,178.350006,159.393173,6128100,18
3/14/2018,179.100006,179.660004,175.889999,177.410004,158.553131,4531500,19
3/15/2018,177.690002,179.860001,176.720001,178.070007,159.142944,3936700,20
3/16/2018,178.429993,180.399994,177.970001,178.960007,159.93837,8410900,21
3/19/2018,178.649994,179.320007,176,177.100006,158.276077,4744500,22
3/20/2018,177.639999,178.889999,177.160004,178.160004,159.223389,4148300,23
3/21/2018,178.350006,180.139999,177.679993,178.020004,159.098267,3494400,24
3/22/2018,177.419998,178.559998,175.080002,175.289993,156.658447,5255100,25
3/23/2018,176.240005,177.059998,171.559998,171.800003,153.539383,6021300,26
3/26/2018,174.110001,176.800003,173.520004,176.380005,157.632614,7323600,27
3/27/2018,177.380005,178.729996,173.600006,174.679993,156.113266,4713900,28
3/28/2018,175.240005,177.529999,173.919998,174.759995,156.184753,4318600,29
3/29/2018,175.699997,178.639999,175.5,178.240005,159.294922,4423500,30
4/2/2018,177.149994,177.690002,170.419998,172.899994,154.522476,7229300,31
4/3/2018,172.779999,174.940002,172.429993,173.759995,155.291061,5283300,32
4/4/2018,170.800003,177.839996,170.419998,177.440002,158.579926,4757300,33
4/5/2018,178,180.039993,177.309998,179.130005,160.090286,3799900,34
4/6/2018,177.979996,178.520004,173.350006,174.449997,155.90773,5236900,35
4/9/2018,175.059998,175.350006,172.369995,172.509995,154.173889,5079800,36
4/10/2018,174.029999,174.190002,172.240005,173.490005,155.049744,4783000,37
4/11/2018,172,175.059998,171.800003,172.860001,154.48671,4228400,38
4/12/2018,173.309998,174.240005,172.899994,173.360001,154.933578,3396700,39
4/13/2018,174.490005,175.509995,172.229996,172.800003,154.43309,4311200,40
4/16/2018,174.229996,175.600006,173.320007,174.429993,155.889847,3534200,41
4/17/2018,175.759995,176.240005,174.100006,174.910004,156.318832,3106500,42
4/18/2018,175,180.25,174.990005,179.850006,160.733749,5858900,43
4/19/2018,179.5,179.699997,175.770004,177.080002,158.258194,5407300,44
4/20/2018,177.850006,178.889999,176.320007,177.009995,158.195602,5008600,45
4/23/2018,177.619995,178.380005,176.130005,177.660004,158.77652,2987700,46
4/24/2018,179.300003,180,175.050003,176.259995,157.525314,4435400,47
4/25/2018,176.080002,178.070007,174.550003,177.389999,158.535263,5587300,48
4/26/2018,178.460007,185.929993,178.080002,185.720001,165.979828,8782500,49
4/27/2018,185.490005,187.039993,183.869995,186.460007,166.641174,4382400,50
4/30/2018,186.990005,187.800003,184.800003,184.800003,165.157654,4173200,51
5/1/2018,184.729996,184.729996,181.399994,184.630005,165.005707,3423900,52
5/2/2018,184.490005,187.119995,183.75,185.910004,166.149628,3866500,53
5/3/2018,184.869995,184.899994,181.199997,183.190002,163.71875,4123900,54
5/4/2018,182.75,186.350006,181.839996,185.029999,165.363174,3896200,55
5/7/2018,185.399994,185.5,182.669998,183.559998,164.049393,3582300,56
5/8/2018,183.449997,185.300003,182.5,185.039993,165.372101,4168200,57
5/9/2018,185.029999,186.5,183.570007,186.360001,166.551819,3392300,58
5/10/2018,185.970001,187.970001,185.880005,187.160004,167.2668,3850100,59
5/11/2018,187.630005,190.800003,187.350006,190.309998,170.08197,5355100,60
5/14/2018,191.5,191.649994,189.860001,191.080002,170.770111,7035900,61
5/15/2018,189.5,189.690002,186.100006,187.979996,167.999603,10147000,62
5/16/2018,189.279999,189.279999,185.899994,186.380005,166.569702,5044800,63
5/17/2018,186.25,187.179993,184.869995,185.330002,165.631302,4227700,64
5/18/2018,185.75,188.210007,185.550003,187.419998,167.499191,4697900,65
5/21/2018,188.199997,190.669998,188,189.789993,169.617218,4147800,66
5/22/2018,190.059998,190.779999,186.520004,186.869995,167.007599,4585600,67
5/23/2018,187.100006,187.320007,184.979996,186.669998,166.828888,7387400,68
5/24/2018,186.789993,187.410004,184.669998,187.149994,167.257858,3941300,69
5/25/2018,186.710007,187.830002,186.050003,186.850006,166.989761,2730400,70
5/29/2018,185.550003,186.830002,184.25,185,165.336349,4725500,71
5/30/2018,184.830002,187.800003,184.009995,187.089996,168.140335,3976000,72
5/31/2018,187.160004,187.360001,185.25,186.550003,167.655029,4839900,73
6/1/2018,187.210007,188.830002,186.520004,187.350006,168.374039,3706200,74
6/4/2018,188.220001,191.539993,187.970001,191.360001,171.977829,4103300,75
6/5/2018,190.440002,192.380005,189.699997,191.940002,172.49913,4231300,76
6/6/2018,193.070007,193.589996,191.210007,193.589996,173.981995,4134700,77
6/7/2018,193.830002,197.199997,193.830002,196.169998,176.300705,4378700,78
6/8/2018,195.869995,198.5,195.009995,198.330002,178.241913,4006200,79
6/11/2018,198.910004,200.520004,198.339996,199.639999,179.419189,4243000,80
6/12/2018,199.839996,201.339996,199.509995,201.309998,180.920059,4616700,81
6/13/2018,201.300003,201.580002,199.660004,200.309998,180.021347,5128100,82
6/14/2018,200.259995,201,198.160004,199.669998,179.446182,4305900,83
6/15/2018,198.949997,201.600006,198.5,200.539993,180.228027,7820900,84
6/18/2018,198.940002,200.910004,198.110001,200.690002,180.362839,3396300,85
6/19/2018,198.210007,199.899994,198.100006,199.210007,179.032745,5501100,86
6/20/2018,200,200.130005,198.119995,199.080002,178.915924,3389600,87
6/21/2018,199.210007,200.940002,198.610001,200.309998,180.021347,4695100,88
6/22/2018,200.789993,201.199997,197.169998,197.410004,177.415085,6785800,89
6/25/2018,197.410004,197.839996,195.059998,196.380005,176.48941,5127200,90
6/26/2018,196.580002,197.330002,195.600006,196.360001,176.471436,3270600,91
6/27/2018,196.660004,197.990005,195.009995,195.020004,175.267136,3771700,92
6/28/2018,195,196.009995,193.509995,195.210007,175.437927,2994000,93
6/29/2018,195.860001,198.830002,194.990005,195.100006,175.33905,4106600,94
7/2/2018,193.820007,194.179993,192.119995,194.020004,174.368439,3822800,95
7/3/2018,194.440002,195.710007,193.410004,193.619995,174.008972,1608400,96
7/5/2018,194.490005,194.740005,193.130005,194.410004,174.718933,3040600,97
7/6/2018,194.580002,195.350006,192.949997,194.479996,174.78183,2552400,98
7/9/2018,195.699997,196.710007,195.029999,196.080002,176.219788,2575100,99
7/10/2018,196.559998,197.759995,196.380005,197.610001,177.594803,2842400,100
7/11/2018,197.220001,197.759995,195.949997,196.949997,177.001663,3309300,101
7/12/2018,198.199997,198.479996,197,197.949997,177.900391,2709200,102
7/13/2018,198.460007,199.929993,198.460007,198.690002,178.565414,2308100,103
7/16/2018,199.139999,199.220001,197.889999,198.880005,178.736191,2530500,104
7/17/2018,198.630005,201.429993,198.630005,201.100006,180.731323,4662800,105
7/18/2018,201.020004,201.919998,200.190002,200.970001,180.614471,3787800,106
7/19/2018,200.889999,203.229996,200.550003,202.630005,182.106354,3691100,107
7/20/2018,202.080002,203.759995,201.820007,202.449997,181.944595,3564100,108
7/23/2018,202.460007,203.389999,201.899994,202.229996,181.746887,2264300,109
7/24/2018,203.529999,204.25,201.350006,201.990005,181.531189,5058100,110
7/25/2018,201.399994,202.289993,199.070007,201,180.641479,4382700,111
7/26/2018,201.529999,202.119995,198.910004,199.399994,179.203491,4280000,112
7/27/2018,200.210007,200.490005,196.679993,197.139999,177.17244,3871200,113
7/30/2018,196.529999,197.570007,196.399994,197.279999,177.298248,2331100,114
7/31/2018,197.690002,198.029999,196.869995,197.520004,177.513962,2795900,115
8/1/2018,196.860001,197.740005,195.600006,196.300003,176.417496,3086800,116
8/2/2018,195.100006,195.839996,193.550003,195.660004,175.842346,3543500,117
8/3/2018,196.029999,196.399994,195.25,195.639999,175.824371,2309000,118
8/6/2018,195.619995,196.059998,195.110001,195.690002,175.869293,2515700,119
8/7/2018,196.350006,197.199997,195.639999,197.050003,177.091568,3052500,120
8/8/2018,197.440002,198.910004,197.300003,198.020004,177.963303,2176700,121
8/9/2018,199,199.740005,198.039993,198.080002,178.017212,2466000,122
8/10/2018,197.339996,197.929993,195.639999,196.300003,176.417496,2873000,123
8/13/2018,196.300003,197.589996,194,194.139999,174.476288,5294400,124
8/14/2018,195.169998,195.979996,191.270004,193.100006,173.541595,11488000,125
8/15/2018,191.75,194.179993,191.089996,193.990005,174.341492,6049300,126
8/16/2018,194.020004,196.089996,193.720001,195.389999,175.59967,5690100,127
8/17/2018,195.600006,195.979996,194.820007,195.559998,175.752457,3885800,128
8/20/2018,195.839996,198.440002,195.399994,197.929993,177.882401,2956700,129
8/21/2018,198.830002,200.740005,198.410004,200.229996,179.949463,4124600,130
8/22/2018,200.800003,203.550003,198.649994,198.970001,178.817093,5007000,131
8/23/2018,199.389999,201.410004,199.139999,200.160004,179.88652,3595000,132
8/24/2018,200.350006,202.5,200,201.300003,180.911057,3054300,133
8/27/2018,202.830002,202.949997,201.190002,201.979996,181.522186,2521300,134
8/28/2018,202.300003,202.419998,200.630005,201.970001,181.513214,3516300,135
8/29/2018,201.110001,201.990005,200.710007,201.679993,182.181656,2488000,136
8/30/2018,201,201.440002,199.100006,199.259995,179.995621,2825400,137
8/31/2018,199.380005,200.910004,199.289993,200.770004,181.359665,4023300,138
9/4/2018,200.690002,205.919998,200.5,205.080002,185.252945,4612800,139
9/5/2018,204.830002,206.669998,203.149994,204.149994,184.412857,3667100,140
9/6/2018,204.589996,207.089996,203.800003,205.889999,185.98465,3490400,141
9/7/2018,205.449997,207.229996,205.429993,206.229996,186.291779,3672700,142
9/10/2018,208.130005,211.619995,208.130005,210.690002,190.320618,5586600,143
9/11/2018,213,214.660004,211.5,213.850006,193.175095,5969500,144
9/12/2018,214.029999,215.429993,210.910004,211.979996,191.48587,5660100,145
9/13/2018,211.440002,211.440002,208.699997,209.449997,189.200439,4701100,146
9/14/2018,210.190002,210.529999,207.550003,209.070007,188.857193,3622400,147
9/17/2018,209.080002,210.039993,208.259995,208.399994,188.251984,3074700,148
9/18/2018,208.630005,211.729996,208.160004,211.020004,190.618668,4338500,149
9/19/2018,212,212.669998,210.660004,211.679993,191.214859,2579100,150
9/20/2018,211.660004,212.610001,211.009995,211.059998,190.654816,4020800,151
9/21/2018,211.300003,212.660004,210.509995,212.389999,191.856186,9749200,152
9/24/2018,211.520004,211.839996,207.960007,207.990005,187.881622,4623700,153
9/25/2018,208.839996,209.300003,206.800003,207.460007,187.402878,4443300,154
9/26/2018,208.580002,209.139999,207.229996,207.520004,187.457092,2965800,155
9/27/2018,207.5,207.830002,205.669998,206.839996,186.842819,3218800,156
9/28/2018,206.440002,208.850006,206.350006,207.149994,187.122803,3966100,157
10/1/2018,208.520004,209.789993,207.369995,207.600006,187.529373,3670500,158
10/2/2018,207.490005,208.039993,204.669998,204.75,184.954865,4428000,159
10/3/2018,206.160004,206.460007,203.649994,203.740005,184.042511,4162500,160
10/4/2018,203.649994,203.759995,198.270004,198.850006,179.625259,5996200,161
10/5/2018,199.070007,199.699997,194.570007,196.380005,177.394104,5016600,162
10/8/2018,196.240005,198.660004,195.059998,198.410004,179.227814,3731800,163
10/9/2018,197.949997,199.179993,195.580002,195.75,176.824982,4466800,164
10/10/2018,199.110001,199.240005,193.350006,193.699997,174.97316,6157900,165
10/11/2018,193.710007,196.669998,188.470001,189.740005,171.396011,5831400,166
