YEAR,Car_Age,MILEAGE,CAR_PRICE
2021,2,38491,23164
2021,2,20264,26999
2022,1,9307,26998
2018,5,25310,24511
2017,6,49851,25697
2017,6,140524,14999
2023,0,15,29688
2022,1,10790,24995
2020,3,5057,25482
2020,3,27250,22988
2021,2,18143,26995
2021,2,27815,23656
2022,1,500,26814
2018,5,45190,22495
